App Name;Credibility;User Experience;Transparency;Professional_Review
Personal Zen;4.67;4.10;Unacceptable;No
Good Days Ahead;4.55;4.15;Questionable;No
Flowy;4.55;4.10;Unacceptable;No
MyLife Meditation (formerly Stop, Breathe & Think);4.33;4.48;Unacceptable;No
FearFighter;4.30;3.98;Acceptable;Yes
IntelliCare: My Mantra;4.00;2.78;Questionable;No
IntelliCare: Daily Feats;4.00;2.95;Questionable;No
IntelliCare: Thought Challenger;4.00;3.18;Questionable;No
IntelliCare Hub;4.00;3.15;Unacceptable;Yes
Lantern;3.93;3.51;Unacceptable;No
GGRO;3.67;4.06;Acceptable;No
Music eScape;3.57;3.45;Questionable;Yes
Social Force;3.57;3.31;Questionable;No
Purple Chill;3.57;3.27;Questionable;No
Slumber Time;3.57;3.67;Questionable;No
Self-Help for Anxiety Management;3.33;4.10;Questionable;No
Koko;3.33;3.63;Unacceptable;Yes
Positive Activity Jackpot;3.33;3.57;Acceptable;No
IntelliCare: Worry Knot;3.33;3.08;Questionable;No
Aspire;3.21;2.89;Questionable;No
Stigma: Mood Tracker and Journal;2.86;3.89;Questionable;Yes
Fear Nix for Anxiety and Phobias;2.86;2.84;Unacceptable;No
ClinTouch;2.85;2.23;Unacceptable;No
Stress Free Now;2.85;2.98;Acceptable;Yes
21-Day Meditation Experience;2.67;3.73;Questionable;No
MoveMe;2.67;3.44;Questionable;No
Shine;2.67;3.89;Acceptable;No
Omvana;2.67;3.67;Unacceptable;No
Fit Brains Trainer;2.50;4.67;Unacceptable;No
Focus Trainer;2.50;2.78;Unacceptable;Yes
Lyftly;2.33;4.61;Unacceptable;Yes
The Panic Program;2.22;3.58;Unacceptable;No
PTSD Support;2.15;2.34;Questionable;Yes
Moodlytics;2.15;4.11;Acceptable;No
Happy Habits: Choose Happiness;2.15;3.50;Unacceptable;No
Optimism;2.15;2.81;Unacceptable;No
Mayo Clinic Meditation;2.15;2.56;Unacceptable;No
ThriveSync;2.15;2.70;Questionable;No
Take a Chill Stressed Teens;2.15;3.01;Questionable;No
Mood Triggers: Anxiety Sadness;2.14;2.25;Questionable;No
T2 Mood Tracker;2.00;3.51;Acceptable;Yes
Mindfit;2.00;4.04;Questionable;No
Cove;2.00;4.33;Unacceptable;No
Moving Forward;2.00;3.73;Questionable;No
Mindfulness Daily;2.00;3.70;Questionable;Yes
Nature Sounds Relax & Sleep;2.00;2.10;Unacceptable;No
STAIR Coach;2.00;3.96;Questionable;No
Sayana;2.00;4.02;Questionable;Yes
Sowlmate;2.00;2.30;Questionable;No
WhatsMyM3;1.82;2.73;Unacceptable;Yes
Sad Scale;1.80;1.82;Acceptable;No
eCBT;1.80;3.94;Questionable;No
Stress Check;1.80;2.75;Unacceptable;Yes
Hope Anxiety & Depression Aid;1.80;2.00;Unacceptable;No
MoodMaster Anti-Depression App;1.79;3.61;Questionable;Yes
DBSA Wellness Tracker;1.79;2.60;Unacceptable;No
Vital Tones OCD;1.79;1.98;Acceptable;No
Mood Journal & Anxiety Chat;1.79;3.44;Unacceptable;No
Qi Gong Meditation Relaxation;1.75;3.97;Unacceptable;No
iCouch CBT;1.67;3.38;Questionable;No
Dream EZ;1.67;3.37;Acceptable;Yes
Jourvie;1.67;3.80;Questionable;No
My Trauma Recovery;1.45;3.04;Questionable;Yes
Moody Me;1.45;2.31;Acceptable;No
Stress Gym;1.45;3.45;Acceptable;No
Beating Bipolar;1.45;4.65;Unacceptable;No
iCBT;1.43;2.51;Unacceptable;Yes
iCounselor: OCD;1.43;3.36;Unacceptable;No
OCD Understood;1.43;2.12;Unacceptable;No
STAT Depression Screening PHQ-9;1.43;3.78;Unacceptable;No
iCounselor: Anxiety;1.42;2.48;Questionable;No
CBT Worry Thought Journal;1.42;3.20;Unacceptable;No
ReachOut Breathe;1.33;3.54;Acceptable;No
MoodCalmer CCBT;1.33;;Questionable;Yes
Wildflowers;1.33;4.08;Unacceptable;No
AnxietyCoach;1.33;3.26;Unacceptable;No
De-StressMe: CBT Tools to Manage Stress;1.33;4.23;Unacceptable;No
Happyness;1.07;3.56;Unacceptable;Yes
The CBT App;1.05;2.46;Acceptable;No
Secret of Happiness;1.05;2.14;Questionable;No
Mood Watch;1.00;1.63;Unacceptable;Yes
LightExistence Depression Aid;1.00;3.82;Unacceptable;No
Better Mood Tracker: A Quantified Self Research Tool;1.00;3.56;Acceptable;No
Perspective Daily Journal;1.00;4.28;Acceptable;No
Obsessive Compulsive Disorder;0.71;2.35;Acceptable;Yes
Anxiety/Panic Tracker;0.70;1.42;Unacceptable;No
NIH Depression Information;0.70;1.24;Questionable;No
Strong Minds;0.67;3.44;Questionable;No
Learn About Depression;0.36;1.02;Unacceptable;Yes
Marblesapp;0.33;1.23;Unacceptable;No
Obsessive Compulsive OCD Test;0.33;1.17;Questionable;Yes
OCD Anxiety Graph;0.33;1.10;Questionable;No
Depression Treatment;0;3.33;Unacceptable;No